1010,17223,"Wien,Innere Stadt"
1020,17224,"Wien,Leopoldstadt"
1030,17225,"Wien,Landstraße"
1040,17226,"Wien,Wieden"
1050,17227,"Wien,Margareten"
1060,17228,"Wien,Mariahilf"
1070,17229,"Wien,Neubau"
1080,17230,"Wien,Josefstadt"
1090,17231,"Wien,Alsergrund"
1100,"17232, 17226","Wien,Favoriten, Wien,Wieden"
1110,17233,"Wien,Simmering"
1120,"17234, 17245","Wien,Meidling, Wien,Liesing"
1130,17235,"Wien,Hietzing"
1140,"17236, 06722, 06709, 06714","Wien,Penzing, Purkersdorf, Weidlingbach, Mauerbach"
1150,17237,"Wien,Rudolfsheim-Fünfhaus"
1160,"17236, 17238","Wien,Penzing, Wien,Ottakring"
1170,"06709, 17239","Weidlingbach, Wien,Hernals"
1180,"17241, 17240","Wien,Döbling, Wien,Währing"
1190,"17241, 06708","Wien,Döbling, Weidling"
1200,17242,"Wien,Brigittenau"
1210,"17243, 04096","Wien,Floridsdorf, Langenzersdorf"
1220,17244,"Wien,Donaustadt"
1230,"17245, 05158, 17234","Wien,Liesing, Perchtoldsdorf, Wien,Meidling"
1300,06726,Mannswörth
2000,"04112, 04132, 04090, 04120, 04133","Oberzögersdorf, Stockerau, Zissersdorf, Oberolberndorf, Unterzögersdorf"
2002,"04067, 04071, 04073, 04065, 04068, 04072, 04069, 04064, 04070","Großmugl, Ringendorf, Steinabrunn, Geitzendorf, Herzogbirbaum, Roseldorf, Nursch, Füllersdorf, Ottendorf"
2003,"04099, 04132, 04100, 04098, 04107","Wiesen, Stockerau, Wollmannsberg, Leitzersdorf, Haselbach"
2004,"04108, 04106, 04105, 04109","Niederhollabrunn, Niederfellabrunn, Bruderndorf, Streitdorf"
2011,"04097, 04125, 04121, 04117, 04119, 04123, 04122, 04124, 04118","Hatzenbach, Unterparschenbrunn, Senning, Höbersdorf, Obermallebarn, Unterhautzental, Sierndorf, Untermallebarn, Oberhautzental"
2013,"03758, 03872, 03759, 03769, 03751, 03816, 03746, 03760, 03768, 03873, 03874, 03823","Göllersdorf, Untergrub, Oberparschenbrunn, Großstelzendorf, Eitzersthal, Obergrub, Bergau, Schönborn, Furth, Viendorf, Wischathal, Porrau"
2014,"03749, 03793, 03865, 03747, 03748","Puch, Hollabrunn, Dietersdorf, Breitenwaida, Kleedorf"
2020,"03762, 03765, 03797, 03749, 03761, 03798, 03766, 03794, 03867, 03756, 03764, 03796, 03815, 03745, 03793, 03868, 03795, 03866","Obergrabern, Windpassing, Wieselsfeld, Puch, Mittergrabern, Kleinstelzendorf, Groß, Magersdorf, Wolfsbrunn, Kleinstetteldorf, Schöngrabern, Raschala, Oberfellabrunn, Aspersdorf, Hollabrunn, Suttenbrunn, Mariathal, Sonnberg"
2022,"03877, 03881","Immendorf, Schalladorf"
2023,"03812, 03880, 03809, 03813","Kleinweikersdorf, Oberstinkenbrunn, Haslach, Nappersdorf"
2024,03800,Mailberg
2031,"03752, 03757, 03753, 03793","Altenmarkt im Thale, Weyerburg, Eggendorf im Thale, Hollabrunn"
2032,"05033, 03754, 04066, 03755","Oedenkirchenwald, Enzersdorf im Thale, Glaswein, Kleinkadolz"
2033,"03808, 03810, 03811","Dürnleis, Kammersdorf, Kleinsierndorf"
2034,"05043, 05042","Großharras, Diepolz"
2041,"03879, 03777, 03875, 03778, 03876, 03882","Maria Roggendorf, Aschendorf, Grund, Hart, Hetzmannsdorf, Wullersdorf"
2042,"03771, 03763, 03875, 03772, 03878","Großnondorf, Ober-Steinabrunn, Grund, Guntersdorf, Kalladorf"
2051,"03886, 03887, 03884, 03883, 03888","Platt, Watzelsdorf, Dietmannsdorf, Deinzendorf, Zellerndorf"
2052,"03818, 03820, 03821","Karlsdorf, Pernersdorf, Pfaffendorf"
2053,"03781, 03819, 03822","Jetzelsdorf, Peigarten, Ragelsdorf"
2054,"03779, 03780, 03782, 03744","Auggenthal, Haugsdorf, Kleinhaugsdorf, Alberndorf im Pulkautal"
2061,"03774, 03775, 03773","Obritz, Untermarkersdorf, Hadres"
2062,"03855, 03856","Großkadolz, Seefeld"
2063,05044,Zwingendorf
2064,05139,Wulzeshofen
2070,"03842, 03839, 03840, 03843, 03841","Mitterretzbach, Obernalb, Retz, Oberretzbach, Unternalb"
2073,"03854, 03852, 03853, 03885","Waitzendorf, Obermarkersdorf, Schrattenthal, Pillersdorf"
2074,"03838, 03844, 03837","Kleinriedenthal, Unterretzbach, Kleinhöflein"
2081,"03786, 03814, 04041","Hofern, Niederfladnitz, Oberfladnitz"
2082,"03776, 03807","Hardegg, Merkersdorf"
2083,"03848, 03846, 03850","Pleissing, Heufurth, Waschbach"
2084,"04047, 04043, 04044, 04040, 04048, 04045, 04046","Untermixnitz, Obermixnitz, Prutzendorf, Fronsburg, Weitersfeld, Rassingdorf, Starrein"
2091,"04042, 03984, 03985","Oberhöflein, Hessendorf, Langau"
2092,"03849, 03845, 03847","Riegersburg, Felling, Mallersbach"
2093,"03956, 03957, 03951, 03953, 03961, 03952","Kottaun, Pfaffenreith, Fugnitz, Goggitsch, Trautmannsdorf, Geras"
2094,"03931, 06465, 03927, 03960, 06491, 03932, 03930","Zettlitz, Eibenstein, Pingendorf, Sieghartsreith, Unterpfaffendorf, Zissersdorf, Wollmersdorf"
2095,"03926, 03929, 03921, 06481, 03924, 03925, 06489, 03922, 03923, 03928","Oberthürnau, Wolfsbach, Autendorf, Primmersdorf, Elsern, Heinrichsreith, Trabersdorf, Drosendorf Altstadt, Drosendorf Stadt, Unterthürnau"
2100,"04096, 04134, 04131, 04095, 04049, 04101","Langenzersdorf, Tresdorf, Stetten, Korneuburg, Bisamberg, Leobendorf"
